name	name_ru	card_title	card_title_ru	link	type	type_ru	subtype	subtype_ru	place	place_ru	lat	lon	lang	n_tokens	platform	ignore
Corpus of Shetnevo and Makeevo dialect	Корпус говора деревень Шетнево и Макеево	Shetnevo and Makeevo dialect	Говор д. Шетнево и Макеево	https://lingconlab.ru/shetnevo/	corpus	корпус	dialectal	диалектный	Makeevo	Макеево	56.21463936	31.62124118	Russian	95335	spoco	
Corpus of Spiridonova Buda dialect	Корпус говора села Спиридонова Буда	Spiridonova Buda dialect	Говор с. Спиридонова Буда	https://lingconlab.ru/SpiridonovaBuda/	corpus	корпус	dialectal	диалектный	Spiridonova Buda	Спиридонова Буда	52.29603195	31.78794776	Russian	70565	spoco	
Corpus of the Russian dialect spoken in Keba	Корпус говора села Кеба	Keba dialect	Говор с. Кеба	https://lingconlab.ru/keba/	corpus	корпус	dialectal	диалектный	Keba	Кеба	64.35296829	46.20578404	Russian	54535	spoco	
Corpus of the Russian dialect spoken in Khislavichi district	Корпус говора Хиславичского района	Khislavichi dialect	Хиславичский говор	https://lingconlab.ru/khislavichi/	corpus	корпус	dialectal	диалектный	Zhanvil	Жанвиль	54.03100203	31.89814767	Russian	260793	spoco	
Corpus of the Russian dialect spoken in Khislavichi district	Корпус говора Хиславичского района	Khislavichi dialect	Хиславичский говор	https://lingconlab.ru/khislavichi/	corpus	корпус	dialectal	диалектный	Zhygalki	Жигалки	53.99736518	32.00736634	Russian	260793	spoco	
Corpus of the Russian dialect spoken in Khislavichi district	Корпус говора Хиславичского района	Khislavichi dialect	Хиславичский говор	https://lingconlab.ru/khislavichi/	corpus	корпус	dialectal	диалектный	Malye Khutora	Малые Хутора	54.12557365	32.00218658	Russian	260793	spoco	
Corpus of the Russian dialect spoken in Khislavichi district	Корпус говора Хиславичского района	Khislavichi dialect	Хиславичский говор	https://lingconlab.ru/khislavichi/	corpus	корпус	dialectal	диалектный	Soino	Соино	53.97977414	31.99372067	Russian	260793	spoco	
Corpus of the Russian dialect spoken in Khislavichi district	Корпус говора Хиславичского района	Khislavichi dialect	Хиславичский говор	https://lingconlab.ru/khislavichi/	corpus	корпус	dialectal	диалектный	Stajki	Стайки	54.13313367	32.01403531	Russian	260793	spoco	
Corpus of the Russian dialect spoken in Manturovo	Корпус говора Мантуровского района Костромской области	Manturovo dialect	Мантуровский говор	https://lingconlab.ru/manturovo/	corpus	корпус	dialectal	диалектный	Угоры	Ugory	58.12741514	44.3564281	Russian	113837	spoco	
Corpus of the Russian dialect spoken in Nekhochi	Корпус говора деревни Нехочи	Nekhochi dialect	Говор д. Нехочи	https://lingconlab.ru/nekhochi/	corpus	корпус	dialectal	диалектный	Nekhochi	Нехочи	53.43927272	34.92670885	Russian	88965	spoco	
